hs10,hs6,품목명,상위설명,영문품목명
3001909020,300190,인체의 것,"장기(臟器) 요법용 선(腺)과 그 밖의 기관(건조한 것으로 한정하며, 가루로 된 것인지에 상관없다), 선(腺)과 그 밖의 기관이나 이들의 분비물의 추출물로서 장기(臟器) 요법용의 것, 헤파린과 그 염, 치료용ㆍ예방용으로 조제한 그 밖의 인체물질이나 동물의 물질로서 따로 분류되지 않은 것 > 기타 > 기타",Of human body
3001909090,300190,기타,"장기(臟器) 요법용 선(腺)과 그 밖의 기관(건조한 것으로 한정하며, 가루로 된 것인지에 상관없다), 선(腺)과 그 밖의 기관이나 이들의 분비물의 추출물로서 장기(臟器) 요법용의 것, 헤파린과 그 염, 치료용ㆍ예방용으로 조제한 그 밖의 인체물질이나 동물의 물질로서 따로 분류되지 않은 것 > 기타 > 기타",Other
3002122000,300212,면역혈청,"사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 면역혈청, 그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다) > 면역혈청과 그 밖의 혈액 분획물",Antisera
3002123000,300212,그 밖의 혈액 분획물,"사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 면역혈청, 그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다) > 면역혈청과 그 밖의 혈액 분획물",Other blood fractions
3002130000,300213,"면역물품(혼합하지 않은 것에 한정하며, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다)","사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 면역혈청, 그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다)","Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale"
3002140000,300214,"면역물품(혼합된 것에 한정하며, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다)","사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 면역혈청, 그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다)","Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale"
3002150000,300215,"면역물품(일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것에 한정한다)","사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 면역혈청, 그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다)","Immunological products, put up in measured doses or in forms or packings for retail sale"
3002410000,300241,백신(인체의약용으로 한정한다),"사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품",Vaccines for human medicine
3002421000,300242,구제역 백신,"사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품 > 백신(동물의약용으로 한정한다)",Vaccines against foot and mouth disease
3002429000,300242,기타,"사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품 > 백신(동물의약용으로 한정한다)",Other
3002491000,300249,"독소, 톡소이드(toxoid), 크립토독소(cryptotoxin), 항독소(anti-toxin)","사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품 > 기타","Toxins, toxoids, cryptotoxins and anti-toxins"
3002492000,300249,미생물 배양체,"사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품 > 기타",Microbial culture
3002493000,300249,바이러스와 항바이러스,"사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품 > 기타",Virus and anti-virus
3002494000,300249,기타[박테리오파지(bacteriophage)를 포함한다],"사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품 > 기타","Other, including bacteriophage"
3002510000,300251,세포치료법용 제품,"사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 세포 배양체(변성된 것인지에 상관없다)",Cell therapy products
3002590000,300259,기타,"사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 세포 배양체(변성된 것인지에 상관없다)",Other
3002901000,300290,사람의 피,"사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 기타",Human blood
3002902000,300290,동물의 피(치료용ㆍ예방용ㆍ진단용으로 조제한 것으로 한정한다),"사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 기타","Animal blood (prepared for therapeutic, prophylactic or diagnostic uses)"
3002909000,300290,기타,"사람의 피, 치료용ㆍ예방용ㆍ진단용으로 조제한 동물의 피, 면역혈청ㆍ그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신ㆍ독소ㆍ미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다) > 기타",Other
3003101000,300310,페니실린이나 이들의 유도체(페니실린산 구조를 가진 것)을 함유하는 것,"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다) > 페니실린이나 이들의 유도체(페니실린산 구조를 가진 것으로 한정한다)를 함유한 것, 스트렙토마이신이나 이들의 유도체를 함유한 것","Containing penicillines or derivatives thereof, with a penicillanic acid structure"
3003102000,300310,스트렙토마이신이나 이들의 유도체를 함유한 것,"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다) > 페니실린이나 이들의 유도체(페니실린산 구조를 가진 것으로 한정한다)를 함유한 것, 스트렙토마이신이나 이들의 유도체를 함유한 것",Containing streptomycins or their derivatives
3003200000,300320,기타(항생물질을 함유한 것으로 한정한다),"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다)","Other, containing antibiotics"
3003310000,300331,인슐린을 함유한 것,"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다) > 기타(제2937호의 호르몬이나 그 밖의 물품을 함유한 것으로 한정한다)",Containing insulin
3003395000,300339,부신피질 호르몬제제,"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다) > 기타(제2937호의 호르몬이나 그 밖의 물품을 함유한 것으로 한정한다) > 기타",Preparations containing adrenal cortical hormones
3003399000,300339,기타,"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다) > 기타(제2937호의 호르몬이나 그 밖의 물품을 함유한 것으로 한정한다) > 기타",Other
3003410000,300341,에페드린 또는 그 염을 함유한 것,"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다) > 기타(알칼로이드나 이들의 유도체를 함유한 것에 한정한다)",Containing ephedrine or its salts
3003420000,300342,슈도에페드린(INN) 또는 그 염을 함유한 것,"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다) > 기타(알칼로이드나 이들의 유도체를 함유한 것에 한정한다)",Containing pseudoephedrine (INN) or its salts
3003430000,300343,놀에페드린 또는 그 염을 함유한 것,"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다) > 기타(알칼로이드나 이들의 유도체를 함유한 것에 한정한다)",Containing norephedrine or its salts
3003490000,300349,기타,"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다) > 기타(알칼로이드나 이들의 유도체를 함유한 것에 한정한다)",Other
3003600000,300360,기타(이 류의 소호주 제2호에 열거한 항말라리아 활성성분을 함유한 것에 한정한다),"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다)","Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter"
3003902000,300390,아스피린제제,"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다) > 기타",Preparations containing aspirin
3003903000,300390,비타민제제,"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다) > 기타",Preparations containing vitamins
3003909000,300390,기타,"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호ㆍ제3005호ㆍ제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다) > 기타",Other
3004101000,300410,페니실린이나 이들의 유도체(페니실린산 구조를 가진 것)을 함유하는 것,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 페니실린이나 이들의 유도체(페니실린산 구조를 가진 것으로 한정한다)를 함유한 것, 스트렙토마이신이나 이들의 유도체를 함유한 것","Containing penicillins or derivatives thereof, with a penicillanic acid structure"
3004102000,300410,스트렙토마이신이나 이들의 유도체를 함유한 것,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 페니실린이나 이들의 유도체(페니실린산 구조를 가진 것으로 한정한다)를 함유한 것, 스트렙토마이신이나 이들의 유도체를 함유한 것",Containing streptomycins or their derivatives
3004201000,300420,항결핵제ㆍ구충제ㆍ항암제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(항생물질을 함유한 것으로 한정한다)","Anti-tuberculosis preparations, anthelmintic preparations and anti-cancer preparations"
3004209100,300420,클로람페니콜제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(항생물질을 함유한 것으로 한정한다) > 기타",Preparations containing chloramphenicol
3004209300,300420,옥시테트라 사이클린제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(항생물질을 함유한 것으로 한정한다) > 기타",Preparations containing oxy-tetracycline
3004209900,300420,기타,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(항생물질을 함유한 것으로 한정한다) > 기타",Other
3004310000,300431,인슐린을 함유한 것,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2937호의 호르몬이나 그 밖의 물품을 함유한 것으로 한정한다)",Containing insulin
3004320000,300432,코르티코스테로이드(corticosteroid) 호르몬을 함유한 것과 이들의 유도체나 그와 유사한 구조를 가지는 것,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2937호의 호르몬이나 그 밖의 물품을 함유한 것으로 한정한다)","Containing corticosteroid hormones, their derivatives or structural analogues"
3004391010,300439,뇌하수체 전엽 호르몬제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2937호의 호르몬이나 그 밖의 물품을 함유한 것으로 한정한다) > 기타 > 뇌하수체 호르몬제제",Preparations containing pituitary (anterior) hormones
3004391020,300439,뇌하수체 후엽 호르몬제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2937호의 호르몬이나 그 밖의 물품을 함유한 것으로 한정한다) > 기타 > 뇌하수체 호르몬제제",Preparations containing pituitary (posterior) hormones
3004393000,300439,갑상샘과 부갑상샘 호르몬제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2937호의 호르몬이나 그 밖의 물품을 함유한 것으로 한정한다) > 기타",Preparations containing thyroid and parathyroid hormones
3004395000,300439,부신수질 호르몬제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2937호의 호르몬이나 그 밖의 물품을 함유한 것으로 한정한다) > 기타",Preparations containing adrenal medulla hormones
3004396000,300439,남성 호르몬제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2937호의 호르몬이나 그 밖의 물품을 함유한 것으로 한정한다) > 기타",Preparations containing male sex hormones
3004397000,300439,난포와 황체 호르몬제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2937호의 호르몬이나 그 밖의 물품을 함유한 것으로 한정한다) > 기타","Preparations containing estrogens and gestagens, progestins"
3004399000,300439,기타,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2937호의 호르몬이나 그 밖의 물품을 함유한 것으로 한정한다) > 기타",Other
3004410000,300441,에페드린 또는 그 염을 함유한 것,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(알칼로이드나 이들의 유도체를 함유한 것으로 한정한다)",Containing ephedrine or its salts
3004420000,300442,슈도에페드린(INN) 또는 그 염을 함유한 것,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(알칼로이드나 이들의 유도체를 함유한 것으로 한정한다)",Containing pseudoephedrine (INN) or its salts
3004430000,300443,놀에페드린 또는 그 염을 함유한 것,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(알칼로이드나 이들의 유도체를 함유한 것으로 한정한다)",Containing norephedrine or its salts
3004491000,300449,항암제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(알칼로이드나 이들의 유도체를 함유한 것으로 한정한다) > 기타",Anti-cancer preparations
3004492010,300449,코카인제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(알칼로이드나 이들의 유도체를 함유한 것으로 한정한다) > 기타 > 코카인제제, 맥각알칼로이드제제와 니코틴제제",Preparations containing cocaine
3004492020,300449,맥각알칼로이드제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(알칼로이드나 이들의 유도체를 함유한 것으로 한정한다) > 기타 > 코카인제제, 맥각알칼로이드제제와 니코틴제제",Preparations containing alkaloids of rye ergot
3004492030,300449,니코틴제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(알칼로이드나 이들의 유도체를 함유한 것으로 한정한다) > 기타 > 코카인제제, 맥각알칼로이드제제와 니코틴제제",Preparations containing nicotine
3004493000,300449,아트로핀과 호마트로핀제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(알칼로이드나 이들의 유도체를 함유한 것으로 한정한다) > 기타",Preparations containing atropine and homatropine
3004499000,300449,기타,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(알칼로이드나 이들의 유도체를 함유한 것으로 한정한다) > 기타",Other
3004501000,300450,비타민 A제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2936호의 비타민이나 그 밖의 물품을 함유한 것으로 한정한다)",Preparations containing vitamin A
3004502010,300450,비타민 B1제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2936호의 비타민이나 그 밖의 물품을 함유한 것으로 한정한다) > 비타민 B제제",Preparations containing vitamin B1
3004502090,300450,기타,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2936호의 비타민이나 그 밖의 물품을 함유한 것으로 한정한다) > 비타민 B제제",Other
3004503000,300450,비타민 C제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2936호의 비타민이나 그 밖의 물품을 함유한 것으로 한정한다)",Preparations containing vitamin C
3004504000,300450,비타민 D제제,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2936호의 비타민이나 그 밖의 물품을 함유한 것으로 한정한다)",Preparations containing vitamin D
3004509000,300450,기타,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호ㆍ제3005호ㆍ제3006호의 물품은 제외한다] > 기타(제2936호의 비타민이나 그 밖의 물품을 함유한 것으로 한정한다)",Other
